tananaev-traccar-64783123, 2015-05-31T11:31:08Z, Reproducible
tananaev-traccar-192220170, 2017-01-15T16:00:14Z, Reproducible
tananaev-traccar-255051211, 2017-07-18T13:35:28Z, Reproducible
fayder-restcountries-154683750, 2016-08-24T08:55:27Z, Reproducible
fayder-restcountries-152161309, 2016-08-14T08:27:55Z, Reproducible
fayder-restcountries-207869551, 2017-03-05T10:16:10Z, Reproducible
fayder-restcountries-146970881, 2016-07-24T10:22:21Z, Reproducible
winder-Universal-G-Code-Sender-243265926, 2017-06-20T01:47:06Z, Reproducible
winder-Universal-G-Code-Sender-172454077, 2016-11-01T23:09:24Z, Reproducible
GoClipse-goclipse-126655137, 2016-04-29T13:56:27Z, Reproducible
puniverse-quasar-111273215, 2016-02-23T18:39:41Z, Reproducible
raphw-byte-buddy-123642637, 2016-04-17T01:08:26Z, Reproducible
stagemonitor-stagemonitor-114302339, 2016-03-07T17:58:32Z, Reproducible
stagemonitor-stagemonitor-126992617, 2016-05-02T09:15:32Z, Reproducible
stagemonitor-stagemonitor-131427161, 2016-05-19T14:34:33Z, Reproducible
SpigotMC-BungeeCord-130330788, 2016-05-15T06:01:58Z, Reproducible
raphw-byte-buddy-148830166, 2016-08-01T09:49:33Z, Reproducible
raphw-byte-buddy-140517158, 2016-06-27T12:27:20Z, Reproducible
raphw-byte-buddy-148275735, 2016-07-29T10:43:39Z, Reproducible
raphw-byte-buddy-95795968, 2015-12-09T13:20:21Z, Reproducible
ImmobilienScout24-deadcode4j-131735009, 2016-05-20T16:14:40Z, Reproducible
charite-jannovar-146105695, 2016-07-20T14:22:39Z, Reproducible
charite-jannovar-249719464, 2017-07-03T17:48:31Z, Reproducible
openmicroscopy-bioformats-251797108, 2017-07-12T10:43:49Z, Reproducible
junkdog-artemis-odb-71816517, 2015-07-20T18:52:09Z, Reproducible
junkdog-artemis-odb-74488108, 2015-08-06T22:24:45Z, Reproducible
yamcs-yamcs-166980116, 2016-10-12T08:27:58Z, Reproducible
yamcs-yamcs-186324159, 2016-12-23T12:53:17Z, Reproducible
HubTurbo-HubTurbo-64373567, 2015-05-28T07:40:16Z, Reproducible
HubTurbo-HubTurbo-64373562, 2015-05-28T07:40:16Z, Reproducible
Adobe-Consulting-Services-acs-aem-commons-369395858, 2018-04-21T04:12:14Z, Reproducible
Adobe-Consulting-Services-acs-aem-commons-374231970, 2018-05-03T04:53:44Z, Reproducible
Adobe-Consulting-Services-acs-aem-commons-374231980, 2018-05-03T04:53:44Z, Reproducible
SonarSource-sonar-java-352869330, 2018-03-13T15:12:45Z, Reproducible
SonarSource-sonar-java-382233150, 2018-05-25T08:54:34Z, Reproducible
UNC-Libraries-Carolina-Digital-Repository-328164630, 2018-01-12T18:25:24Z, Reproducible
UNC-Libraries-Carolina-Digital-Repository-382144611, 2018-05-22T13:48:39Z, Reproducible
UNC-Libraries-Carolina-Digital-Repository-396988274, 2018-06-27T18:19:54Z, Reproducible
