tananaev-traccar-64783123,2015-01-31,Reproducible
tananaev-traccar-192220170,2017-01-15,Reproducible
tananaev-traccar-255051211,2017-01-18,Reproducible
fayder-restcountries-152161309,2016-01-14,Reproducible
winder-Universal-G-Code-Sender-243265926,2017-01-20,Reproducible
winder-Universal-G-Code-Sender-172454077,2016-01-01,Reproducible
GoClipse-goclipse-126655137,2016-01-29,Reproducible
puniverse-quasar-111273215,2016-01-23,Reproducible
raphw-byte-buddy-123642637,2016-01-17,Reproducible
stagemonitor-stagemonitor-114302339,2016-01-07,Reproducible
stagemonitor-stagemonitor-126992617,2016-01-02,Reproducible
stagemonitor-stagemonitor-131427161,2016-01-19,Reproducible
SpigotMC-BungeeCord-130330788,2016-01-15,Reproducible
raphw-byte-buddy-148830166,2016-01-01,Reproducible
raphw-byte-buddy-140517158,2016-01-27,Reproducible
raphw-byte-buddy-148275735,2016-01-29,Reproducible
raphw-byte-buddy-95795968,2015-01-09,Reproducible
ImmobilienScout24-deadcode4j-131735009,2016-01-20,Reproducible
charite-jannovar-249719464,2017-01-03,Reproducible
openmicroscopy-bioformats-251797108,2017-01-12,Reproducible
junkdog-artemis-odb-71816517,2015-01-20,Reproducible
junkdog-artemis-odb-74488108,2015-01-06,Reproducible
yamcs-yamcs-166980116,2016-01-12,Reproducible
yamcs-yamcs-186324159,2016-01-23,Reproducible
Adobe-Consulting-Services-acs-aem-commons-369395858,2018-01-21,Reproducible
Adobe-Consulting-Services-acs-aem-commons-374231970,2018-01-03,Reproducible
Adobe-Consulting-Services-acs-aem-commons-374231980,2018-01-03,Reproducible
SonarSource-sonar-java-352869330,2018-01-13,Reproducible
SonarSource-sonar-java-382233150,2018-01-25,Reproducible
UNC-Libraries-Carolina-Digital-Repository-328164630,2018-01-12,Reproducible
UNC-Libraries-Carolina-Digital-Repository-396988274,2018-01-27,Reproducible
swagger-api-swagger-core-390509591,2018-01-10,Reproducible
thm-projects-arsnova-backend-343416327,2018-01-19,Reproducible
SonarSource-sonar-java-297969404,2017-01-06,Reproducible
brettwooldridge-HikariCP-446093147,2018-01-25,Reproducible
Adobe-Consulting-Services-acs-aem-commons-461893216,2018-01-30,Reproducible
SynBioDex-libSBOLj-109899408,2016-01-17,Reproducible
ontop-ontop-475275870,2019-01-08,Reproducible
joyent-java-manta-476591899,2019-01-07,Reproducible
joel-costigliola-assertj-core-547866283,2019-01-19,Reproducible
